teff,ra_x,dec_x,parallax,pmra,pmdec,g_mag,b_mag,r_mag,br_col,L,B
6112.17,239.74167583989,23.18129907179,1.304,-7.268,2.029,13.695506,14.014446,13.210281,0.31894,38.3661334533878,47.6198875556611
5172.57,39.76789743664,36.76492022474,3.6058,25.877,-172.907,13.091894,13.55505,12.484341,0.463156,145.828307599414,-21.2755709783832
6121.7,143.60698754254,9.2240436267,1.1635,10.092,-10.563,13.835356,14.112673,13.394859,0.277316999999998,224.357011670044,40.2781861984488
6265.82,118.55394600685,16.16530791845,0.9794,-0.166,-9.018,12.872934,13.13956,12.458502,0.266625999999999,204.97085155821,20.9884702520111
6717.41,291.55607217964,39.22449608428,1.6464,5.901,0.276,11.333632,11.552377,10.981853,0.218745,71.7551242551753,10.6086531510247
5325.57,170.59523117662,19.99601119396,0.648,-8.062,-6.065,16.910273,17.290749,16.336714,0.380476000000002,227.452440025229,68.4208315021201
4751.5,245.35257990545,-3.65548815829,3.0071,-36.817,-0.097,10.223051,10.874058,9.478269,0.651007,10.0691346640829,30.7771860347138
5006.61,73.17700337873,38.79294767774,0.5459,-1.35,3.017,14.492906,15.435158,13.533175,0.942252,165.64110278502,-3.31487181064374
4975.48,250.75384576263,37.91270089479,3.7118,4.497,-16.184,13.168368,13.662836,12.53541,0.494468000000001,60.9536243817836,40.7958738393611
5735.38,13.15505348977,33.19311684035,1.5499,12.576,-1.666,12.367941,12.746523,11.838965,0.378582,123.216609780959,-29.6779796222997
4359.86,53.24893162869,-3.54691275956,2.5938,25.349,-0.98,14.896971,15.564178,14.118565,0.667206999999999,188.663951899459,-44.811573579663
5195.51,112.14236796922,51.3236179427,0.3384,-0.512,-3.192,14.483907,14.959131,13.860786,0.475223999999999,166.478957594583,26.4679229238764
5763.04,154.39380289822,3.352576833,1.0879,9.183,-4.054,14.212378,14.542662,13.723172,0.330284000000001,239.043337327788,46.2461166380347
5660.69,316.90896743675,14.70484640467,1.7731,-0.871,-17.709,12.528942,12.909296,11.99641,0.380353999999999,63.4738969509121,-21.4841441493666
5923.115,244.51302972661,37.37928524343,0.3717,-5.168,-6.794,16.934296,17.223305,16.464428,0.289009,59.7827230028258,45.6915184848678
4963.47,289.19895593628,49.96209460369,0.2197,-1.052,1.315,13.906486,14.430502,13.244676,0.524016000000001,81.0799252168825,16.6121893120565
5903.53,15.38721067098,39.12604812773,0.6871,2.479,-6.646,15.277023,15.632076,14.762825,0.355053,125.07330562335,-23.7036585911274
5103.59,359.3694355126,7.87924957945,0.8823,4.638,0.076,13.802975,14.289139,13.174333,0.486164,100.5532991163,-52.6320660868932
4132.11,155.11823619832,37.85984620718,4.3934,0.549,-21.989,13.887189,14.628131,13.063053,0.740942,184.510769061719,56.6681737695071
5475.37,97.7372503209,22.84534287828,0.8855,4.515,-5.487,15.039784,15.512603,14.410964,0.472819000000001,190.280032918216,5.9584765981816
5626.61,222.90775053131,14.00971398022,0.8798,-5.412,-13.527,15.082231,15.405258,14.585661,0.323027,13.9086900649084,59.0759744022376
4279,334.37103657889,-26.65981824121,0.286,-8.721,-3.186,11.49768,12.233154,10.691756,0.735474,24.7103869572964,-55.8080413586106
4893.77,18.75987003246,49.51952426552,0.7883,5.561,-2.119,16.399706,17.033295,15.639969,0.633589000000001,126.862020995108,-13.1720401669973
4146.57,166.55837685621,-3.97469904407,3.1548,25.57,-22.879,14.708511,15.463807,13.852077,0.755296,259.657722930933,49.8473039492655
6398.14,12.0377456985,40.50278515532,0.5595,-4.713,-4.453,14.968476,15.238386,14.535471,0.269909999999999,122.256280232582,-22.3646528080354
6157.23,340.69419458238,44.08769388444,0.5041,-4,-3.626,16.332869,16.695478,15.808804,0.362609000000003,99.8315332172217,-12.937407443433
4480.51,31.4858739828,5.81406872212,2.7056,-21.997,-1.19,15.213818,15.830056,14.41268,0.616238000000001,154.357844147988,-52.4518899559617
6819.58,120.70179327532,18.11192649588,0.7393,3.657,-7.727,13.7921,13.993015,13.446941,0.200915,203.895598674429,23.6365165940259
4352.02,91.08790060127,28.32286703758,2.1827,-9.807,-32.636,15.311329,15.985209,14.519943,0.673879999999999,182.604448795173,3.23925646220503
